epoch,train_loss,val_loss
0,127.31814782477949,
1,65.11192359118701,
2,24.986986126529573,
3,23.983041409760304,28.096863880942138
4,26.255812681428917,
5,24.773331503617708,
6,24.71254278263545,26.974576633187787
7,25.753267538057614,
8,21.89369245887347,
9,22.941864704432554,27.884599783752538
10,23.71646616257489,
11,23.113929162014564,
12,24.202827760618028,28.468297280842744
13,22.889572460357456,
14,25.836896539278772,
15,23.13631662821661,26.22989538764652
16,22.823852597850642,
17,23.44324476533829,
18,23.477656359541907,29.30601747277417
19,23.78454110121618,
20,24.19920256012651,
21,24.05713410083562,27.219675675977633
22,22.010722636087845,
23,23.42199776706086,
24,22.111338006443084,31.053019228615337
25,24.44638270765679,
26,25.19495351755456,
27,24.01257607055037,26.566980601111545
28,22.96296899435727,
29,23.031714558737463,
30,23.702091712385553,27.214127399121658
31,22.35662802822514,
32,22.716782126932927,
33,24.65654700708716,28.027817608434944
34,23.76078459008099,
35,23.128378973567866,
36,22.319015899477485,25.507251987728893
37,21.903105486473535,
38,22.12420999051229,
39,22.033376136871233,27.01161934642852
40,23.4128539690144,
41,22.409454122389832,
42,20.959661016045096,26.353886324016354
43,24.52288710349771,
44,23.30339865828758,
45,22.158986302611492,26.97654645276975
46,24.998231113093084,
47,23.81978397908276,
48,21.91691786812865,25.57631541769716
49,23.955929697240325,
50,24.254668332534294,
51,22.304034400067916,26.28989060770107
52,23.20372224221491,
53,22.23452802863159,
54,23.27498189091138,26.470470383951934
55,22.391205368997298,
56,21.817049634374985,
57,22.25907916749177,26.11501084437853
58,23.508961227454552,
59,23.270627206591165,
60,22.71849846037011,24.774710400006438
61,22.858961244015934,
62,23.996202507655916,
63,23.02567716099356,26.471413671593123
64,20.75445681442953,
65,22.164751493767515,
66,22.666057858565082,24.879743135050884
67,22.59813135209149,
68,23.86627363954505,
69,24.503081343897946,25.3984506235847
70,21.59629678835063,
71,22.377239544233774,
72,22.90622372047542,25.82004564076285
73,22.629650743448572,
74,21.286966509538697,
75,20.36117588834131,25.208670551263832
76,23.49534179855427,
77,20.231469713253517,
78,22.835697266064823,25.11000727890413
79,22.40259382213768,
80,21.838388072709513,
81,19.97885692031144,25.7573098513899
82,22.918561757835622,
83,23.23809499262947,
84,23.979551842155523,25.583179272428342
85,22.61223384982919,
86,23.732243556274128,
87,21.731299032835654,24.848650002969972
88,21.67889266797941,
89,22.466756890217464,
90,20.66721502157379,25.25866208102884
91,23.14274214990607,
92,21.2325054921516,
93,21.286172462516724,24.983303629522084
94,22.42042573252225,
95,22.130774205405963,
96,23.176592830245355,26.22426125011112
97,23.03023565101297,
98,22.799342046861778,
99,23.914301543849515,29.58927827847155
